"","TLD","Alexa #","Domain #","Start Date","ASCII","Whois Server","Registry"
"332","vodka","1","3165","2014-02-28","vodka","whois-dub.mm-registry.com","registry"
"333","gal","25","3164","2014-03-13","gal","whois.gal.coreregistry.net","registry"
"334","ong","2","3164","2014-07-10","ong","whois.publicinterestregistry.net","registry"
"335","rip","6","3079","2014-10-09","rip","whois.rightside.co","registry"
"336","apartments","1","3042","2015-02-05","apartments","whois.donuts.co","registry"
"337","industries","NA","3030","2014-02-13","industries","whois.donuts.co","registry"
"338","dating","9","3029","2014-01-23","dating","whois.donuts.co","registry"
"339","garden","2","2980","2014-10-23","garden","whois-dub.mm-registry.com","registry"
"340","diamonds","1","2907","2013-11-13","diamonds","whois.donuts.co","registry"
"341","auction","1","2906","2014-04-24","auction","whois.unitedtld.com","registry"
"342","bank","19","2889","2014-11-26","bank","whois.nic.bank","registry"
"343","best","6","2880","2014-02-20","best","whois.nic.best","registry"
"344","loans","NA","2848","2014-05-08","loans","whois.donuts.co","registry"
"345","dentist","NA","2826","2014-05-22","dentist","whois.rightside.co","registry"
"346","ceo","1","2819","2013-12-19","ceo","whois.nic.ceo","registry"
"347","taipei","23","2753","2014-09-25","taipei","whois.nic.taipei","registry"
"348","fishing","2","2735","2014-02-28","fishing","whois-dub.mm-registry.com","registry"
"349","investments","1","2730","2014-04-17","investments","whois.donuts.co","registry"
"350","limo","1","2722","2013-12-12","limo","whois.donuts.co","registry"
"351","town","7","2705","2014-04-03","town","whois.donuts.co","registry"
"352","okinawa","9","2702","2014-02-20","okinawa","whois.nic.okinawa","registry"
"353","voyage","1","2683","2013-10-31","voyage","whois.donuts.co","registry"
"354","florist","1","2676","2013-12-19","florist","whois.donuts.co","registry"
"355","fail","1","2666","2014-04-17","fail","whois.donuts.co","registry"
"356","moda","5","2666","2014-01-09","moda","whois.unitedtld.com","registry"
"357","srl","1","2660","2015-07-09","srl","whois.afilias-srs.net","registry"
"358","exposed","2","2621","2014-01-30","exposed","whois.donuts.co","registry"
"359","country","1","2618","2014-02-28","country","whois-dub.mm-registry.com","registry"
"360","green","1","2616","2014-06-12","green","whois.afilias.net","registry"
"361","cleaning","2","2612","2014-01-30","cleaning","whois.donuts.co","registry"
"362","mba","3","2586","2015-05-14","mba","whois.donuts.co","registry"
"363","lgbt","3","2585","2014-06-26","lgbt","whois.afilias.net","registry"
"364","delivery","2","2550","2014-10-16","delivery","whois.donuts.co","registry"
"365","mortgage","NA","2521","2014-05-22","mortgage","whois.rightside.co","registry"
"366","tienda","5","2502","2014-01-16","tienda","whois.donuts.co","registry"
"367","feedback","NA","2501","2014-03-06","feedback","whois.nic.feedback","registry"
"368","durban","1","2476","2014-06-05","durban","durban-whois.registry.net.za","registry"
"369","versicherung","NA","2465","2014-05-15","versicherung","whois.nic.versicherung","registry"
"370","bargains","1","2452","2014-01-16","bargains","whois.donuts.co","registry"
"371","jewelry","1","2451","2015-04-09","jewelry","whois.donuts.co","registry"
"372","engineer","1","2434","2014-05-29","engineer","whois.rightside.co","registry"
"373","soccer","1","2425","2015-05-08","soccer","whois.donuts.co","registry"
"374","how","3","2423","2014-06-12","how","domain-registry-whois.l.google.com","registry"
"375","lat","4","2388","2014-12-04","lat","whois.nic.lat","registry"
"376","guitars","NA","2385","2014-01-09","guitars","whois.uniregistry.net","registry"
"377","condos","NA","2368","2014-02-06","condos","whois.donuts.co","registry"
"378","associates","1","2359","2014-04-03","associates","whois.donuts.co","registry"
"379","credit","3","2343","2014-04-24","credit","whois.donuts.co","registry"
"380","онлайн","16","2270","2013-10-21","xn--80asehdb","whois.online.rs.corenic.net","registry"
"381","irish","1","2256","2014-11-06","irish","whois.afilias-srs.net","registry"
"382","furniture","1","2250","2014-04-17","furniture","whois.donuts.co","registry"
"383","film","5","2193","2015-02-27","film","whois.nic.film","registry"
